INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 13 , 1 , '12-APR-20' , 1 , 50000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 15 , 1 , '12-APR-20' , 2, 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 22 , 1 , '13-APR-20' , 4, 40000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 5 , 1 , '13-APR-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 15 , 1 , '14-APR-20' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 2 , 1 , '15-APR-20' , 1 , 90000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 3 , 2 , '12-APR-20' , 1 , 120000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 4 , 2 , '12-APR-20' , 1 , 90000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 6 , 2 , '13-APR-20' , 2, 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 1 , 2 , '13-APR-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 8 , 2 , '13-APR-20' , 1 , 120000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 9 , 2 , '13-APR-20' , 5, 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 5 , 3 , '13-APR-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 4 , 3 , '13-APR-20' , 1 , 90000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 6 , 3 , '13-APR-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 7 , 3 , '13-APR-20' , 2, 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 11 , 3 , '15-APR-20' , 1 , 80000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 5 , 3 , '15-APR-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 10 , 3 , '15-APR-20' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 11 , 4 , '12-MAY-20' , 1 , 80000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 16 , 4 , '12-MAY-20' , 4, 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 14 , 4 , '13-MAY-20' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 1 , 4 , '13-MAY-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 15 , 4 , '13-MAY-20' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 1 , 4 , '14-MAY-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 15 , 4 , '15-MAY-20' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 13 , 5 , '14-APR-20' , 1 , 50000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 18 , 5 , '14-APR-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 19 , 5 , '14-APR-20' , 1 , 1000000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 4 , 5 , '15-APR-20' , 4, 90000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 3 , 5 , '15-APR-20' , 1 , 120000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 20 , 5 , '15-APR-20' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 19 , 5 , '16-APR-20' , 1 , 1000000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 17 , 5 , '16-APR-20' , 4, 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 4 , 6 , '14-APR-20' , 1 , 90000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 6 , 6 , '14-APR-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 19 , 6 , '15-APR-20' , 2, 1000000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 17 , 6 , '15-APR-20' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 1 , 6 , '16-APR-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 3 , 6 , '16-APR-20' , 1 , 120000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 4 , 7 , '16-APR-20' , 1 , 90000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 5 , 7 , '16-APR-20' , 3, 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 23 , 7 , '17-APR-20' , 1 , 50000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 24 , 7 , '17-APR-20' , 1 , 30000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 12 , 7 , '18-APR-20' , 3, 80000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 16 , 7 , '18-APR-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 16 , 7 , '19-APR-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 17 , 7 , '19-APR-20' , 4, 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 24 , 7 , '19-APR-20' , 1 , 30000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 5 , 8 , '30-APR-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 13 , 8 , '30-APR-20' , 1 , 50000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 15 , 8 , '01-MAY-20' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 18 , 8 , '01-MAY-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 21 , 8 , '02-MAY-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 23 , 9 , '30-APR-20' , 1 , 50000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 1 , 9 , '01-MAY-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 5 , 9 , '03-MAY-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 24 , 10 , '09-MAR-20' , 1 , 30000 );
